# Omega is is MeV, Cross sections, statistical errors are in mb/(sr*MeV)
#       q=500MeV/c            q=525MeV/c            q=550MeV/c            
#Omega  C.S.      Stat. Err.  C.S.      Stat. Err.  C.S.      Stat. Err. 
307.5   0.107920   0.015267   0.128026   0.016962   0.082682   0.013978
312.5   0.119354   0.015952   0.126749   0.016793   0.102094   0.015393
317.5   0.129695   0.016475   0.106600   0.015233   0.088020   0.014283
322.5   0.096687   0.014106   0.100160   0.014615   0.115362   0.016159
327.5   0.129022   0.016137   0.114951   0.015505   0.086514   0.013858
332.5   0.121940   0.015619   0.113003   0.015243   0.086801   0.013727
337.5   -          -          -          -          0.110638   0.015346
342.5   -          -          -          -          0.085690   0.013384
347.5   -          -          -          -          0.111636   0.015195
352.5   -          -          -          -          0.107643   0.014955
357.5   -          -          -          -          0.100315   0.015150
